Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2011-01-03,21.345979690551758,21.49856054450624,21.30020601641296,21.399382552900168,53443800
2011-01-04,21.429893493652344,21.490925527657623,21.246797391636502,21.31545861178225,54405600
2011-01-05,21.361230850219727,21.368860035851867,21.185763946035618,21.284940449016695,58998700
2011-01-06,21.986812591552734,22.009700151645635,21.25442813000282,21.391750580323073,88026300
2011-01-07,21.818973541259766,21.92577923838524,21.551957843327582,21.849488831101976,73762000
2011-01-10,21.52906608581543,21.66638850111976,21.391745125629306,21.559582824824485,57573600
2011-01-11,21.445154190063477,21.551959897368224,21.39937906825976,21.513815417650424,50298900
2011-01-12,21.78082275390625,21.81133949206308,21.414630626733288,21.452776549429327,52631100
2011-01-13,21.506181716918945,21.658761058885098,21.36885929056658,21.612987401807082,67077600
2011-01-14,21.59010124206543,21.65113327382285,21.292570269137812,21.42226351851213,62688400
2011-01-18,21.8647403717041,21.92577238743689,21.468031541881945,21.483289909594653,53322700
2011-01-19,21.719797134399414,21.880007146706706,21.567217763998553,21.712167947611583,50005900
2011-01-20,21.628250122070312,21.780829494720813,21.460410920500564,21.74268501533784,58613600
2011-01-21,21.376489639282227,21.689278980721507,21.376489639282227,21.666391423377753,58080300
2011-01-24,21.6511287689209,21.78845117558233,21.35359785789987,21.37648541071615,52047800
2011-01-25,21.704532623291016,21.704532623291016,21.45277536783632,21.468032280956237,42436600
2011-01-26,21.9563045501709,22.11651315836868,21.742691617454796,21.7503208066717,74628800
2011-01-27,22.02495765686035,22.47506801332966,21.735054394251996,21.933408875216,146938600
2011-01-28,21.17050552368164,22.07072905444452,20.94163577574324,22.047841497603333,141249400
2011-01-31,21.15524673461914,21.284939977254243,20.91874780573808,21.185763476471326,65029000
2011-02-01,21.35360336303711,21.40700621159134,21.063701561549067,21.208651734733845,62810700
2011-02-02,21.31546401977539,21.445157306831188,21.26968889131887,21.307834831699303,45824000
2011-02-03,21.094223022460938,21.338351233052943,21.010304859519255,21.338351233052943,60340100
2011-02-04,21.18576431274414,21.23916715797511,20.987409848230254,21.13236146751317,40412200
2011-02-07,21.513816833496094,21.620622547829832,21.201027422845524,21.20865515519617,68980900
2011-02-08,21.574848175048828,21.62062184325465,21.39937977920894,21.437525715312688,34904200
2011-02-09,21.33834457397461,21.55958660522972,21.292570912552968,21.506183757718063,52905100
2011-02-10,20.97978401184082,21.31546096346349,20.819575450570976,21.30783177648131,76672400
2011-02-11,20.7890567779541,21.216281023572456,20.651734335225722,21.17813654731168,83939700
2011-02-14,20.773794174194336,20.8043109130821,20.560182822452784,20.758535804750455,56766200
2011-02-15,20.689388275146484,20.973330830227606,20.68171545751574,20.75078252594846,44116500
2011-02-16,20.73543357849121,20.77380352081097,20.413121086359034,20.758454958395276,70817900
2011-02-17,20.881240844726562,21.004027882181646,20.651018259902212,20.697062484123183,57207300
2011-02-18,20.76612663269043,20.88123790891848,20.712408134698627,20.819845130682232,68667800
2011-02-22,20.405439376831055,20.796818793638067,20.35172089165108,20.551247739261655,60889000
2011-02-23,20.405439376831055,20.612640502855758,20.28265384964285,20.359395170065213,60234100
2011-02-24,20.543575286865234,20.76612352578048,20.336374142423438,20.443811122332928,64494200
2011-02-25,20.37474822998047,20.681713601565654,20.336378290392005,20.651016478919388,53006300
2011-02-28,20.397768020629883,20.612643455852073,20.344049527754123,20.482183631559877,51379900
2011-03-01,20.075454711914062,20.55124977468086,20.067780432739863,20.41311567698343,60055000
2011-03-02,20.014060974121094,20.23661066825048,19.983365322628188,20.037083810530035,48658200
2011-03-03,20.106149673461914,20.25963084933723,20.090801116758705,20.152193879852618,68271500
2011-03-04,19.914302825927734,20.136851107172383,19.79919008130809,20.12150254606052,70437200
2011-03-07,19.73779296875,20.159869524377562,19.6073331553697,20.05243108389324,64980400
2011-03-08,19.88359832763672,19.96801391871762,19.684071498357465,19.77616136714743,50549800
2011-03-09,19.868257522583008,19.937324585187994,19.69175345757887,19.806864740680727,39789100
2011-03-10,19.49989891052246,19.73012145405035,19.453854694560732,19.661055861967373,66549500
2011-03-11,19.707094192504883,19.837553985201325,19.461523162421887,19.499893086977806,49905800
2011-03-14,19.714771270751953,19.768489758248766,19.453851648293995,19.561288623287624,54473400
2011-03-15,19.48455047607422,19.545943252324864,19.185260874817228,19.246653651067874,76067300
2011-03-16,19.024112701416016,19.40014378351175,18.939697052716223,19.354098085828333,100725400
2011-03-17,19.016429901123047,19.354089417246914,18.993407062593132,19.23130387252566,62497000
2011-03-18,19.031782150268555,19.323398995741314,19.031782150268555,19.231309080402667,85486700
2011-03-21,19.438499450683594,19.63035199222754,19.300365386576956,19.323388218500973,46878100
2011-03-22,19.41547966003418,19.538265188758146,19.361761174182316,19.41547966003418,30895600
2011-03-23,19.599660873413086,19.65337936325711,19.32339268139346,19.3617626130766,43969000
2011-03-24,19.806859970092773,19.852905643218673,19.568963180485067,19.645704505309205,38696700
2011-03-25,19.661056518554688,19.914301910380274,19.63803367794535,19.898953349974047,57029800
2011-03-28,19.49989891052246,19.73779573399718,19.47687607068198,19.69175151803545,48973200
2011-03-29,19.561294555664062,19.584317398881577,19.415486142725364,19.446183267015385,40763500
2011-03-30,19.653377532958984,19.737791667544307,19.56896193465473,19.64570325459324,41999300
2011-03-31,19.48455047607422,19.707100204807336,19.446180539812282,19.64570742855669,63233700
2011-04-01,19.553611755371094,19.59198314401577,19.423151961416814,19.59198314401577,63114200
2011-04-04,19.607336044311523,19.69175166061863,19.499899051716483,19.530596171726064,35433700
2011-04-05,19.783838272094727,20.0908021026272,19.75314115718198,19.814533923288472,73651100
2011-04-06,20.067779541015625,20.1905650749086,19.84523130972924,19.93731972828946,65581400
2011-04-07,20.106149673461914,20.152193879852618,19.929644198812852,20.09847539511031,46134700
2011-04-08,20.00638771057129,20.16754464617399,19.921972103173726,20.083129038776427,39887600
2011-04-11,19.937313079833984,20.14451414807809,19.79917903433791,20.098469954152247,34286300
2011-04-12,19.676395416259766,19.8375523059339,19.607328386930664,19.822203751923283,36920400
2011-04-13,19.668725967407227,19.852905733308553,19.61500747890227,19.68407452518551,38144700
2011-04-14,19.507577896118164,19.522926459714224,19.254332451661522,19.507577896118164,55239900
2011-04-15,19.46919822692871,19.61500511710906,19.323389873029505,19.538263801176907,65080400
2011-04-18,19.24665069580078,19.400133344720203,18.970382513233428,19.261999253436525,58045100
2011-04-19,19.300371170043945,19.31571972925924,19.0854971959065,19.185259903367573,38892400
2011-04-20,19.768491744995117,19.95267006223095,19.576639148242897,19.599661986792057,61608600
2011-04-21,19.58431053161621,19.86825151313736,19.46152500494994,19.791511656760143,46892300
2011-04-25,19.653377532958984,19.66105181132473,19.446176408240685,19.615006141130262,33525100
2011-04-26,20.098474502563477,20.290327061676898,19.699420828315027,19.753139310671767,69200000
2011-04-27,20.244279861450195,20.251954138880176,20.052427316856882,20.182887105729083,52689000
2011-04-28,20.497529983520508,20.620316987565403,20.25963318210417,20.305677393796568,80200000
2011-04-29,19.89127540588379,20.443810305259806,19.46152603970244,20.37474325987293,319317900
