Date,Open,High,Low,Close,Volume
2011-01-03,21.399382552900168,21.49856054450624,21.30020601641296,21.34597969055176,53443800
2011-01-04,21.31545861178225,21.490925527657623,21.246797391636505,21.429893493652344,54405600
2011-01-05,21.28494044901669,21.368860035851867,21.185763946035618,21.361230850219727,58998700
2011-01-06,21.391750580323077,22.009700151645635,21.25442813000282,21.98681259155273,88026300
2011-01-07,21.849488831101976,21.92577923838524,21.551957843327585,21.81897354125977,73762000
2011-01-10,21.559582824824485,21.66638850111976,21.391745125629303,21.52906608581543,57573600
2011-01-11,21.513815417650424,21.551959897368224,21.39937906825976,21.44515419006348,50298900
2011-01-12,21.452776549429327,21.81133949206308,21.414630626733288,21.78082275390625,52631100
2011-01-13,21.61298740180708,21.658761058885094,21.36885929056658,21.506181716918945,67077600
2011-01-14,21.42226351851213,21.65113327382285,21.29257026913781,21.59010124206543,62688400
2011-01-18,21.483289909594653,21.92577238743689,21.468031541881945,21.8647403717041,53322700
2011-01-19,21.712167947611583,21.880007146706703,21.567217763998556,21.71979713439941,50005900
2011-01-20,21.74268501533784,21.780829494720813,21.460410920500564,21.628250122070312,58613600
2011-01-21,21.666391423377757,21.689278980721507,21.376489639282227,21.376489639282227,58080300
2011-01-24,21.37648541071615,21.78845117558233,21.35359785789987,21.6511287689209,52047800
2011-01-25,21.46803228095624,21.704532623291016,21.45277536783632,21.704532623291016,42436600
2011-01-26,21.7503208066717,22.11651315836868,21.7426916174548,21.9563045501709,74628800
2011-01-27,21.933408875216,22.47506801332966,21.735054394252,22.02495765686035,146938600
2011-01-28,22.047841497603333,22.07072905444452,20.94163577574324,21.17050552368164,141249400
2011-01-31,21.18576347647133,21.284939977254243,20.91874780573808,21.15524673461914,65029000
2011-02-01,21.208651734733845,21.40700621159134,21.063701561549067,21.35360336303711,62810700
2011-02-02,21.307834831699303,21.445157306831188,21.26968889131887,21.31546401977539,45824000
2011-02-03,21.338351233052943,21.338351233052943,21.010304859519252,21.094223022460938,60340100
2011-02-04,21.13236146751317,21.23916715797511,20.987409848230254,21.18576431274414,40412200
2011-02-07,21.20865515519617,21.620622547829832,21.201027422845524,21.513816833496094,68980900
2011-02-08,21.437525715312688,21.62062184325465,21.39937977920894,21.574848175048828,34904200
2011-02-09,21.506183757718063,21.55958660522972,21.292570912552968,21.33834457397461,52905100
2011-02-10,21.30783177648131,21.31546096346349,20.819575450570976,20.97978401184082,76672400
2011-02-11,21.17813654731168,21.216281023572456,20.65173433522572,20.7890567779541,83939700
2011-02-14,20.75853580475045,20.8043109130821,20.560182822452784,20.773794174194336,56766200
2011-02-15,20.75078252594846,20.973330830227606,20.68171545751574,20.689388275146484,44116500
2011-02-16,20.75845495839528,20.77380352081097,20.413121086359038,20.73543357849121,70817900
2011-02-17,20.697062484123183,21.00402788218165,20.65101825990221,20.88124084472656,57207300
2011-02-18,20.819845130682232,20.88123790891848,20.712408134698627,20.76612663269043,68667800
2011-02-22,20.55124773926165,20.796818793638067,20.35172089165108,20.40543937683105,60889000
2011-02-23,20.359395170065213,20.61264050285576,20.28265384964285,20.40543937683105,60234100
2011-02-24,20.443811122332928,20.76612352578048,20.33637414242344,20.543575286865234,64494200
2011-02-25,20.651016478919388,20.68171360156565,20.336378290392005,20.37474822998047,53006300
2011-02-28,20.48218363155988,20.612643455852076,20.344049527754123,20.397768020629883,51379900
2011-03-01,20.41311567698343,20.55124977468086,20.067780432739863,20.075454711914062,60055000
2011-03-02,20.037083810530035,20.23661066825048,19.983365322628188,20.014060974121094,48658200
2011-03-03,20.152193879852614,20.25963084933723,20.090801116758705,20.106149673461918,68271500
2011-03-04,20.12150254606052,20.136851107172383,19.79919008130809,19.91430282592773,70437200
2011-03-07,20.05243108389324,20.15986952437756,19.6073331553697,19.73779296875,64980400
2011-03-08,19.77616136714743,19.96801391871762,19.684071498357465,19.88359832763672,50549800
